   Kansas   NorthCarolina
   Villanova   Virginia
   Kansas   Purdue
   Kansas   NorthCarolina
   Kansas   WestVirginia
   Kansas   Virginia
   Villanova   Xavier
   Oregon   NorthCarolina
   Kansas   Virginia
   Iowa   Virginia
   Kansas   Virginia
   Oregon   WestVirginia
   Oregon   Xavier
   TexasA&M   MichiganState
   Villanova   NorthCarolina
   Kansas   NorthCarolina
   Duke   NorthCarolina
   Kansas   Virginia
   Kansas   Utah
   Miami(Fla.)   NorthCarolina
   Villanova   NorthCarolina
   Oregon   Utah
   Kansas   Xavier
   Oregon   Kentucky
   Oregon   Virginia
   Duke   Xavier
   Texas   NorthCarolina
   Villanova   WestVirginia
   Duke   Virginia
   Kansas   Utah
   Kansas   Virginia
   Oregon   Virginia
   Oregon   Kentucky
   Kansas   MichiganState
   Oregon   NorthCarolina
   Miami(Fla.)   Virginia
   TexasA&M   NorthCarolina
   Kansas   NorthCarolina
   Oregon   NorthCarolina
   Villanova   Xavier
   Villanova   IowaState
   Villanova   Kentucky
   Oregon   WestVirginia
   Kansas   NorthCarolina
   Oregon   MichiganState
   TexasA&M   Xavier
   California   Virginia
   Oklahoma   NorthCarolina
   Oregon   Virginia
   Villanova   Virginia
   Oklahoma   Virginia
   Kansas   NorthCarolina
   Villanova   Utah
   Oklahoma   Virginia
   Kansas   Virginia
   Kansas   Pittsburgh
   Oregon   Virginia
   Villanova   NorthCarolina
   Kansas   MichiganState
   Oregon   Dayton
   Oklahoma   NorthCarolina
   Oregon   Xavier
   Oregon   MichiganState
   Kansas   MichiganState
   Villanova   NorthCarolina
   Oregon   Virginia
   Kansas   MichiganState
   Oklahoma   MichiganState
   Oregon   Virginia
   Oregon   NorthCarolina
   Duke   Virginia
   Oklahoma   Kentucky
   Oregon   Xavier
   Oregon   NorthCarolina
   Oregon   WestVirginia
   Oregon   MichiganState
   Kansas   MichiganState
   Oregon   NorthCarolina
   Kansas   WestVirginia
   Kansas   MichiganState
   Oregon   SetonHall
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Oregon   Virginia
   Villanova   NorthCarolina
   Oregon   Xavier
   Oregon   NorthCarolina
   Villanova   Xavier
   Oregon   NorthCarolina
   Kansas   NorthCarolina
   Oregon   Virginia
   Oregon   Kentucky
   Kansas   Michigan
   California   NorthCarolina
   Kansas   Virginia
   Oregon   NorthCarolina
   Villanova   Virginia
   Kansas   NorthCarolina
   Kansas   WestVirginia
   Oklahoma   MichiganState
   Kansas   Xavier
   Oregon   Virginia
   Oregon   IowaState
   Oregon   MichiganState
   Kansas   Xavier
   Oregon   MichiganState
   Villanova   Indiana
   Villanova   NorthCarolina
   Kansas   WestVirginia
   Villanova   NorthCarolina
   Kansas   Xavier
   Oklahoma   NorthCarolina
   Kansas   NorthCarolina
   Kansas   Xavier
   Oregon   Virginia
   Oregon   Virginia
   Oregon   Virginia
   California   Virginia
   Kansas   NorthCarolina
   Oregon   Virginia
   TexasA&M   NorthCarolina
   Kansas   Xavier
   Oregon   Virginia
   TexasA&M   MichiganState
   Oklahoma   Providence
   TexasA&M   Virginia
   Oregon   Virginia
   Kansas   Gonzaga
   Oregon   NorthCarolina
   Villanova   Virginia
   Oregon   Virginia
   Oklahoma   NorthCarolina
   Oregon   Xavier
   Miami(Fla.)   Virginia
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Oregon   Virginia
   Kansas   Virginia
   Oregon   Virginia
   Oregon   Chattanooga
   Oregon   WestVirginia
   Oklahoma   Kentucky
   Oregon   WestVirginia
   Oregon   NorthCarolina
   Oklahoma   Virginia
   Kansas   WestVirginia
   Villanova   Xavier
   Kansas   NorthCarolina
   Maryland   NorthCarolina
   California   NorthCarolina
   Oregon   NorthCarolina
   Villanova   Virginia
   Kansas   NorthCarolina
   TexasA&M   Xavier
   Oklahoma   Xavier
   Kansas   Virginia
   Oklahoma   Virginia
   Kansas   NorthCarolina
   Miami(Fla.)   NorthCarolina
   Oregon   Virginia
   Oregon   NorthCarolina
   Oregon   MichiganState
   Villanova   Virginia
   Villanova   MichiganState
   TexasA&M   IowaState
   Oregon   NorthCarolina
   Kansas   Virginia
   Oregon   Virginia
   Duke   Virginia
   California   Virginia
   TexasA&M   Virginia
   Kansas   NotreDame
   Kansas   Virginia
   Oklahoma   NorthCarolina
   Kansas   MichiganState
   Oregon   Virginia
   Villanova   Indiana
   Oregon   NorthCarolina
   Miami(Fla.)   NorthCarolina
   Kansas   Utah
   Oregon   Utah
   Kansas   Virginia
   Kansas   Virginia
   Villanova   MichiganState
   Oregon   Xavier
   Kansas   TexasTech
   Villanova   WestVirginia
   Kansas   NorthCarolina
   Oklahoma   MichiganState
   Kansas   NorthCarolina
   Arizona   Virginia
   Oklahoma   Virginia
   Kansas   Virginia
   Villanova   NorthCarolina
   Oregon   Xavier
   Oregon   NorthCarolina
   Kansas   NorthCarolina
   Oklahoma   Indiana
   Kansas   MichiganState
   Oregon   Xavier
   Kansas   Virginia
   TexasA&M   Virginia
   Oregon   WestVirginia
   Oregon   Virginia
   Oklahoma   Virginia
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Oregon   Virginia
   Oregon   Virginia
   Miami(Fla.)   Dayton
   Oregon   Xavier
   Oklahoma   Indiana
   Oregon   Virginia
   Oregon   Virginia
   Kansas   WestVirginia
   Kansas   Virginia
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Oregon   Virginia
   Oklahoma   MichiganState
   Oregon   Virginia
   Kansas   Virginia
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Oregon   NorthCarolina
   Oregon   Xavier
   Oregon   NorthCarolina
   Miami(Fla.)   NorthCarolina
   Oregon   Virginia
   Oklahoma   Virginia
   Oregon   NorthCarolina
   Maryland   NorthCarolina
   Oregon   WestVirginia
   TexasA&M   Xavier
   Villanova   Virginia
   Oregon   MichiganState
   Oklahoma   MichiganState
   Kansas   IowaState
   Villanova   Virginia
   Oregon   WestVirginia
   Oregon   SetonHall
   Arizona   NorthCarolina
   Oregon   NorthCarolina
   Oregon   MichiganState
   Oregon   NorthCarolina
   Oregon   Xavier
   TexasA&M   MichiganState
   Villanova   Wisconsin
   Oregon   WestVirginia
   Oklahoma   Utah
   Oregon   Virginia
   TexasA&M   MichiganState
   Oregon   MichiganState
   TexasA&M   MichiganState
   Oklahoma   NorthCarolina
   Oregon   NorthCarolina
   TexasA&M   Wisconsin
   Villanova   NorthCarolina
   Oregon   MichiganState
   Oregon   Virginia
   Oregon   WestVirginia
   Kansas   NorthCarolina
   Miami(Fla.)   Virginia
   Kansas   Dayton
   Kansas   Virginia
   Oregon   NorthCarolina
   Oregon   NorthCarolina
   Oregon   Kentucky
   Kansas   IowaState
   Kansas   Virginia
   Kansas   Xavier
   Villanova   Indiana
   Kansas   NorthCarolina
   Oklahoma   MichiganState
   TexasA&M   Utah
   Kansas   Indiana
   Villanova   Virginia
   Kansas   Xavier
   Kansas   Utah
   Oregon   MichiganState
   Oregon   Utah
   Oregon   MichiganState
   Kansas   NorthCarolina
   Oregon   IowaState
   California   NorthCarolina
   Oregon   Virginia
   Oregon   Virginia
   Oklahoma   Virginia
   Kansas   Virginia
   Villanova   Purdue
   Oklahoma   Virginia
   Kansas   Virginia
   Oregon   NorthCarolina
   Kansas   MichiganState
   Kansas   Virginia
   Texas   NorthCarolina
   Kansas   MichiganState
   Kansas   Xavier
   Oregon   WestVirginia
   Kansas   NorthCarolina
   Oregon   NorthCarolina
   Duke   NorthCarolina
   Oregon   NorthCarolina
   Oregon   Utah
   Kansas   Virginia
   Villanova   Virginia
   Oregon   MichiganState
   Kansas   Virginia
   Kansas   NorthCarolina
   Oregon   Pittsburgh
   Oregon   Virginia
   Oregon   Virginia
   Villanova   Virginia
   Oregon   NorthCarolina
   Oregon   Virginia
   Oregon   IowaState
   Oregon   MichiganState
   Kansas   Purdue
   Oklahoma   Utah
   Oregon   WestVirginia
   Miami(Fla.)   Xavier
   Oregon   NorthCarolina
   Oklahoma   Xavier
   Oregon   NorthCarolina
   TexasA&M   NorthCarolina
   Oregon   Virginia
   Oregon   Virginia
   Kansas   Virginia
   TexasA&M   NorthCarolina
   Oklahoma   MichiganState
   Oregon   Virginia
   Oregon   NorthCarolina
   Kansas   Virginia
   Oregon   NorthCarolina
   California   NorthCarolina
   Villanova   NorthCarolina
   Kansas   NorthCarolina
   Duke   MichiganState
   Villanova   IowaState
   Oklahoma   NorthCarolina
   Oregon   Virginia
   Kansas   MichiganState
   Villanova   WestVirginia
   Kansas   NorthCarolina
   Oregon   Utah
   Oregon   Virginia
   Kansas   NorthCarolina
   California   Virginia
   California   IowaState
   Kansas   NorthCarolina
   Oregon   Virginia
   Oregon   MichiganState
   Oregon   MichiganState
   Kansas   NorthCarolina
   Villanova   NorthCarolina
   Kansas   Virginia
   Kansas   NorthCarolina
   Oregon   Virginia
   Villanova   Dayton
   Oklahoma   MichiganState
   Oklahoma   MichiganState
   Oregon   Utah
   Oklahoma   Virginia
   Oregon   NorthCarolina
   Oregon   Virginia
   Kansas   NorthCarolina
   Kansas   Xavier
   Maryland   Xavier
   Oklahoma   NorthCarolina
   Kansas   Virginia
   Oregon   Virginia
   Oregon   Virginia
   Kansas   WestVirginia
   Oregon   NorthCarolina
   Oklahoma   Virginia
   Oklahoma   WestVirginia
   Kansas   MichiganState
   Kansas   NorthCarolina
   TexasA&M   NorthCarolina
   Kansas   WestVirginia
   Oklahoma   Virginia
   Miami(Fla.)   NorthCarolina
   Villanova   MichiganState
   TexasA&M   Virginia
   Miami(Fla.)   Xavier
   Oregon   NorthCarolina
   Villanova   Virginia
   Oregon   Xavier
   Oklahoma   Xavier
   Miami(Fla.)   Virginia
   Kansas   NorthCarolina
   Oregon   MichiganState
   Villanova   Virginia
   Kansas   Virginia
   Kansas   Xavier
   Iowa   Xavier
   Villanova   NorthCarolina
   Kansas   WestVirginia
   Oregon   Xavier
   Miami(Fla.)   Virginia
   Villanova   WestVirginia
   Villanova   NorthCarolina
   Kansas   Xavier
   Kansas   NorthCarolina
   Kansas   IowaState
   Oklahoma   NorthCarolina
   Kansas   Xavier
   Kansas   NorthCarolina
   Oregon   Virginia
   Oklahoma   Xavier
   Oklahoma   Virginia
   Kansas   Virginia
   Villanova   Virginia
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Kansas   Xavier
   Duke   NorthCarolina
   Oregon   MichiganState
   TexasA&M   NorthCarolina
   Kansas   NorthCarolina
   Kansas   WestVirginia
   Kansas   Utah
   Villanova   Virginia
   Kansas   Kentucky
   Oregon   Virginia
   Kansas   MichiganState
   Miami(Fla.)   IowaState
   Kansas   NorthCarolina
   Oregon   Xavier
   Miami(Fla.)   NorthCarolina
   Kansas   NorthCarolina
   Duke   NorthCarolina
   Villanova   Virginia
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Kansas   IowaState
   TexasA&M   NorthCarolina
   Kansas   Kentucky
   Kansas   Virginia
   Kansas   Purdue
   Oregon   MichiganState
   Villanova   Virginia
   Kansas   MichiganState
   Kansas   NorthCarolina
   Oregon   Virginia
   Kansas   NorthCarolina
   Kansas   WestVirginia
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Villanova   Virginia
   Oklahoma   NorthCarolina
   Kansas   MichiganState
   Oregon   Virginia
   Oregon   Virginia
   Kansas   USC
   Oregon   Virginia
   Villanova   NorthCarolina
   Kansas   Utah
   Kansas   IowaState
   Oregon   MichiganState
   Kansas   NorthCarolina
   Oregon   MichiganState
   Kansas   Virginia
   Miami(Fla.)   Virginia
   Oregon   NorthCarolina
   Villanova   NorthCarolina
   Oregon   Utah
   Oklahoma   SetonHall
   Oregon   Virginia
   Oklahoma   FresnoState
   Kansas   NorthCarolina
   Kansas   NorthCarolina
   Kansas   Virginia
   Oklahoma   Gonzaga
   California   MichiganState
   California   NorthCarolina
   Oregon   Virginia
   Kansas   NorthCarolina
   Oregon   NorthCarolina
   Oklahoma   Virginia
   Oregon   Kentucky
   Kansas   Utah
   Kansas   Xavier
   Oregon   Virginia
   Miami(Fla.)   MichiganState
   Kansas   NorthCarolina
   Oklahoma   Virginia
   Oklahoma   NorthCarolina
   Kansas   NorthCarolina
   Oregon   Virginia
   Villanova   NorthCarolina
   Kansas   Xavier
   Oklahoma   Virginia
   Kansas   Xavier
   Kansas   Virginia
   Villanova   Xavier
   Oklahoma   Indiana
   Oregon   NorthCarolina
   Oregon   MichiganState
   Oregon   Xavier
   Oklahoma   Virginia
   Kansas   Virginia
   Oregon   NorthCarolina
   Kansas   Virginia
   Kansas   Virginia
   Oklahoma   NorthCarolina
   Miami(Fla.)   Kentucky
   Duke   Xavier
   Oregon   NorthCarolina
   Oregon   NorthCarolina
   Oklahoma   Utah
   Oregon   Virginia
   Arizona   Virginia
   TexasA&M   Kentucky
   Kansas   NorthCarolina
   Oregon   NorthCarolina
   Oklahoma   NorthCarolina
   Oregon   NorthCarolina
   Kansas   Virginia
   Miami(Fla.)   MichiganState
   Oregon   NorthCarolina
   Kansas   Xavier
   Oregon   NorthCarolina
   Oklahoma   MichiganState
   Kansas   NorthCarolina
   Kansas   Virginia
   Kansas   Virginia
   TexasA&M   MichiganState
   Kansas   Virginia
   TexasA&M   MichiganState
   Kansas   MichiganState
   Oregon   NorthCarolina
   Iowa   Virginia
   Miami(Fla.)   Virginia
   Kansas   Xavier
   Kansas   MichiganState
   Kansas   Virginia
   Villanova   Xavier
   Miami(Fla.)   Virginia
   Villanova   NorthCarolina
   Kansas   WestVirginia
   Kansas   NorthCarolina
   Villanova   NorthCarolina
   Oregon   Virginia
   Oklahoma   Virginia
   Oregon   NorthCarolina
   Oregon   WestVirginia
   Texas   Virginia
   Kansas   Utah
   Oregon   NorthCarolina
   Kansas   Xavier
   Villanova   MichiganState
   Oklahoma   NorthCarolina
   Kansas   Virginia
   Oregon   Virginia
   Oregon   MichiganState
   Oregon   Virginia
   Oregon   Xavier
   Kansas   Virginia
   Kansas   NorthCarolina
